params_hash,sim_threshold,top_n,net_profit,final_value,trade_num,win_count,loss_count,win_rate,sharpe_ratio,annual_return,max_drawdown,signal_count,avg_selected_matches,avg_top_sim,forced_liquidation_count
"{""sim_threshold"": 0.3, ""top_n"": 20}",0.3,20,-864.1422363870079,99135.85776361299,1206,177,1029,0.14676616915422885,-137.4352216613176,-0.20326132728466484,0.00864142236387011,6044,19.104307894161384,0.9927177076628556,0
"{""sim_threshold"": 0.3, ""top_n"": 30}",0.3,30,-840.6436478238465,99159.35635217615,1175,151,1024,0.12851063829787235,-138.6043599007031,-0.19830205479783103,0.008406436478238466,6554,28.351330049261083,0.990117934889394,0
"{""sim_threshold"": 0.5, ""top_n"": 20}",0.5,20,-864.1422363870079,99135.85776361299,1206,177,1029,0.14676616915422885,-137.4352216613176,-0.20326132728466484,0.00864142236387011,6044,19.104307894161384,0.9927177076628556,0
"{""sim_threshold"": 0.5, ""top_n"": 30}",0.5,30,-840.6436478238465,99159.35635217615,1175,151,1024,0.12851063829787235,-138.6043599007031,-0.19830205479783103,0.008406436478238466,6554,28.351330049261083,0.990117934889394,0
